101,Last Breath,You're heavily wounded and on your last breath. You must use the Body Reconstruction Elixir I to reconstruct your body or you'll die.
102,Body Reconstruction,Reconstructing body...
103,Heavy Burden,Travel Speed remains at 300. You can't teleport.
105,Internal Injury,Max Energy -30%
106,Absentminded,Max Focus -50%
107,Corpse Poison,DEF -30%
108,Nether Poison,All Spiritual Roots -30%
109,Disturbed Qi,ATK -10%. You can't achieve Breakthrough.
110,Unstable Realm,All Martial Arts -10%. You can't achieve Breakthrough.
111,Blocked Meridians,All Spiritual Roots -10%. You can't achieve Breakthrough.
112,Distraught,All Martial Arts and Spiritual Roots -15%. You can't achieve Breakthrough.
113,Hindrance,ATK -20%, All Martial Arts and Spiritual Roots -20%. You can't achieve Breakthrough.
114,Grounded,You can't leave your sect.
115,Hidden,You can't be targeted by others.
116,固定单位,每个月结束固定单位到添加气运时的地点
117,停止AI,停止AI运转
118,Trapped,You're trapped inside a Monster Lair.
120,Bottleneck,EXP limit reached for your current Realm. You must achieve Breakthrough to reach Qi Refining Middle.nSee details of Breakthrough on the Rewrite Destiny page (Hot Key: J).
121,Bottleneck,EXP limit reached for your current Realm. You must achieve Breakthrough to reach Qi Refining Late.nSee details of Breakthrough on the Rewrite Destiny page (Hot Key: J).
122,Bottleneck,EXP limit reached for your current Realm. You must achieve Breakthrough to reach Foundation Middle.nSee details of Breakthrough on the Rewrite Destiny page (Hot Key: J).
123,Bottleneck,EXP limit reached for your current Realm. You must achieve Breakthrough to reach Foundation Late.nSee details of Breakthrough on the Rewrite Destiny page (Hot Key: J).
124,Bottleneck,EXP limit reached for your current Realm. You must achieve Breakthrough to reach Qi Condensation Middle.nSee details of Breakthrough on the Rewrite Destiny page (Hot Key: J).
125,Bottleneck,EXP limit reached for your current Realm. You must achieve Breakthrough to reach Qi Condensation Late.nSee details of Breakthrough on the Rewrite Destiny page (Hot Key: J).
126,Bottleneck,EXP limit reached for your current Realm. You must achieve Breakthrough to reach Golden Core Middle.nSee details of Breakthrough on the Rewrite Destiny page (Hot Key: J).
127,Bottleneck,EXP limit reached for your current Realm. You must achieve Breakthrough to reach Golden Core Late.nSee details of Breakthrough on the Rewrite Destiny page (Hot Key: J).
128,Bottleneck,EXP limit reached for your current Realm. You must achieve Breakthrough to reach Origin Spirit Middle.nSee details of Breakthrough on the Rewrite Destiny page (Hot Key: J).
129,Bottleneck,EXP limit reached for your current Realm. You must achieve Breakthrough to reach Origin Spirit Late.nSee details of Breakthrough on the Rewrite Destiny page (Hot Key: J).
130,Bottleneck,EXP limit reached for your current Realm. You must achieve Breakthrough to reach Nascent Soul Middle.nSee details of Breakthrough on the Rewrite Destiny page (Hot Key: J).
131,Bottleneck,EXP limit reached for your current Realm. You must achieve Breakthrough to reach Nascent Soul Late.nSee details of Breakthrough on the Rewrite Destiny page (Hot Key: J).
132,Bottleneck,EXP limit reached for your current Realm. You must achieve Breakthrough to reach Soul Formation Middle.nSee details of Breakthrough on the Rewrite Destiny page (Hot Key: J).
133,Bottleneck,EXP limit reached for your current Realm. You must achieve Breakthrough to reach Soul Formation Late.nSee details of Breakthrough on the Rewrite Destiny page (Hot Key: J).
134,Bottleneck,EXP limit reached for your current Realm. You must achieve Breakthrough to reach Enlightenment Middle.nSee details of Breakthrough on the Rewrite Destiny page (Hot Key: J).
135,Bottleneck,EXP limit reached for your current Realm. You must achieve Breakthrough to reach Enlightenment Late.nSee details of Breakthrough on the Rewrite Destiny page (Hot Key: J).
136,Bottleneck,EXP limit reached for your current Realm. You must achieve Breakthrough to reach Reborn Middle.nSee details of Breakthrough on the Rewrite Destiny page (Hot Key: J).
137,Bottleneck,EXP limit reached for your current Realm. You must achieve Breakthrough to reach Reborn Late.nSee details of Breakthrough on the Rewrite Destiny page (Hot Key: J).
138,Bottleneck,EXP limit reached for your current Realm. You must achieve Breakthrough to reach Transcendent Middle.nSee details of Breakthrough on the Rewrite Destiny page (Hot Key: J).
139,Bottleneck,EXP limit reached for your current Realm. You must achieve Breakthrough to reach Transcendent Late.nSee details of Breakthrough on the Rewrite Destiny page (Hot Key: J).
141,Life Soul Defect,When a Favored Artifact Spirit Compact is broken, part of the Life Soul is lost. Max Vitality and Energy are reduced by 20% and cannot bind Favored Artifact.
142,Grounded,You failed a Sect Mission and is currently grounded by the elder.
501,Cold and Hungry,Vitality -200 every month
502,Parched,Stamina -50 every month
503,Dizzy,Vitality -300 and Stamina -60 every month
1011,Last Breath,You're heavily wounded and on your last breath. You must use the Body Reconstruction Elixir II to reconstruct your body or you'll die.
1012,Last Breath,You're heavily wounded and on your last breath. You must use the Body Reconstruction Elixir III to reconstruct your body or you'll die.
1013,Last Breath,You're heavily wounded and on your last breath. You must use the Body Reconstruction Elixir IV to reconstruct your body or you'll die.
5001,Empowered,ATK +10%
5002,Energized,Max Energy +10%
5003,Fortified,DEF +10%
5004,Vitalized,Max Vitality +10%
5005,Sharpened Blade,Blade +10%
5006,Windrider,Agility +10%
5007,Shielded,Martial RES +10
5008,Water Qi Orb,Fire Root -20, Water Root +20
5009,The Best Defense,DEF -30, ATK +30
5010,Sealed Spirit,All Spiritual Roots -10
5011,Heavily Wounded,Max Vitality is temporarily reduced by 30%
5012,Foxy Charm,Charisma +300
5013,Foxy Allure,Charisma +200
5014,Foxy Appeal,Charisma +100
5015,Fox Chase,Someone is constantly following you.
5016,Grudge of the Fox,All Fox Spirits give you a hateful stare.
5017,Bandit Catcher ,Luck +10 for 12 months
5018,Brutal Bandit,Luck -20 for 6 months
5019,Sly Thief,Luck -10 for 12 months
5020,Bully,Luck -10 for 6 months
